Sub,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Sub24,6.315882325,6.279592362,6.214388252,6.119312981,6.228994468,6.207202698,6.037091656,6.123893497,6.104898569,6.148674404,6.152119873,6.172188845,6.05540631,6.038791308,5.98705081,5.951128403,6.039890355,5.95500529,5.989853304,6.092366306,5.945212002,6.053170614,6.060429314,6.104817952,5.949870739,5.90299429,5.955187678,5.947944184,5.957713846,5.914543703
Sub25,4.301437778,4.303075377,4.148018723,4.262652568,4.362407441,4.238614602,4.553372615,4.515200705,4.486785936,4.326600762,4.352928556,4.387396411,4.32806796,4.52596192,4.207177729,4.397486233,4.315208101,4.229423987,4.559116195,4.587190637,4.293861775,4.546334793,4.568605854,4.320390465,4.461720014,4.342647449,4.338343459,4.511413646,4.546891544,3.893738105
Sub26,5.30583363,5.305636363,5.51791682,5.534497968,5.609373797,5.536209256,5.453204212,5.4525522,5.367708388,5.580419251,5.625188023,5.425046312,5.367187337,5.235770498,5.698417937,5.514202472,5.569139394,5.531606609,5.543873562,5.591319818,5.433943548,5.557999118,5.644417553,5.426463644,5.350621706,5.499315296,5.557719517,5.587916136,5.401576287,5.37098835
Sub27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub28,5.4295,5.4295,5.4295,5.4295,5.4295,5.0228,5.2455,5.4175,5.5895,5.52375,5.52375,5.458,5.915,6.06525,6.06525,6.2155,5.90525,5.90525,5.595,5.006,5.3405,5.90875,5.90875,5.90875,NA,6.2455,5.926,5.5085,6.135,5.40695
Sub29,5.918579406,5.973278715,6.047687287,5.985941579,6.061795905,5.94951874,6.010692893,6.025231247,5.921397838,5.985119915,5.935076772,5.923618511,6.054667225,5.99353938,5.912094013,6.061807204,5.851647214,5.969096612,5.94159264,5.964010603,6.027048558,5.926797976,5.895700852,6.039895568,6.143769036,6.165738176,6.147458967,6.137163665,6.134764166,5.872724041
Sub30,5.932163123,6.274914968,6.08582018,6.063848456,5.963226,5.97235276,6.022664833,6.013086135,6.001438627,6.055496293,6.113055091,6.150224459,6.168238337,6.118287945,6.039923856,5.784396424,5.683720141,6.021477791,5.968348714,6.005324456,5.97577313,5.916209111,5.912216921,5.858535115,6.038207708,5.641673275,5.549356581,5.823196343,5.865820553,5.707925651
Sub31,5.388465621,5.428501627,5.465891261,5.425715031,5.534308382,5.484596103,5.476194529,5.209747935,5.465741479,5.511526546,5.117827889,5.371224667,5.409478752,5.494158786,5.46392326,5.368115742,5.463788044,5.399385067,5.361813753,5.317421023,5.425029094,5.411260564,5.412870549,5.402132627,5.453211714,5.428452882,5.44199243,5.400599837,5.397207561,5.132277608
Sub32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub36,5.144577581,5.235917861,5.096733474,5.180503132,5.255861226,5.359821385,5.316937695,5.384438181,5.238534813,5.245279146,5.420318647,5.370430394,5.414329752,5.410466067,5.361809072,5.415540588,5.325291742,5.294122607,5.224488152,5.373917737,5.266429127,5.267829086,5.264441356,5.327560149,5.254641415,5.307628544,5.26950084,5.436606369,5.303565466,4.774933347
Sub37,5.229653824,5.239873902,5.266443181,5.355053132,5.244316951,5.328410148,5.2013297,5.255465773,5.139339336,5.233674093,5.144773395,5.301095761,5.245503234,5.201363748,5.164101713,5.208372097,5.162739863,5.190975258,5.203086502,5.035711771,5.03865692,5.170929204,4.93918323,5.134110682,5.29822927,5.176331106,5.176212911,5.149790144,5.303159709,5.03446884
Sub38,5.779077201,5.777927739,5.841528046,5.642327421,5.647687216,5.73664587,5.758793371,5.713183921,5.681778466,5.70368736,5.612256035,5.60135705,5.585699092,5.727781804,5.668668028,5.753853335,5.567076512,5.59926377,5.637859094,5.531763328,5.508601381,5.315627577,5.621377499,5.537778291,5.442038195,5.483478583,5.61510573,5.503675234,5.591410925,5.150342929
Sub39,4.351090295,4.294304002,4.397587556,4.569974052,4.690190981,3.956286788,4.399288888,4.051929715,4.270833776,4.057910403,4.06883413,4.231171456,4.308425871,4.102143951,3.843764922,4.323135855,4.365227836,3.970652772,4.266416676,4.146198108,3.746209766,3.827163563,3.726892513,4.138571164,3.6641603,4.111658683,4.334978582,3.896490815,4.509386295,3.878257172
Sub40,5.376476475,5.479352229,5.43432028,5.378896863,5.509873966,5.411247201,5.390184772,5.300584343,5.368072989,5.416798032,5.389527896,5.473215032,5.384697864,5.418991383,5.313391588,5.301084432,5.52033384,5.399070567,5.308692606,5.379724229,5.293901482,5.300376165,5.437106223,5.205704456,5.343707045,5.443151213,5.400759363,5.379793387,5.429941986,5.337163631
Sub41,NA,NA,NA,4.558049218,4.63529964,4.61202078,4.584857156,4.599051812,4.575890127,4.597463502,4.676058832,4.621041327,4.634708713,4.674907639,4.659254018,4.640765633,4.602206566,4.735800358,4.649341191,4.528750573,4.599860973,4.628811813,4.518968779,4.739666524,4.70772078,4.715551512,4.632964335,4.607398676,4.586443715,4.327246347
Sub42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub43,3.429524188,3.763326497,4.027563872,3.365283127,4.021397274,4.01790953,4.154214809,4.042095118,3.75452411,4.12595271,3.9935,3.939693878,3.978843836,3.852883159,4.188144531,4.26258165,3.962905163,4.056825,4.130109212,3.920504233,3.80091155,3.709792748,4.090771822,4.107278932,3.963864413,3.955493623,3.989366877,4.043590833,4.005924855,3.60964162
Sub44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub45,6.124274933,6.214909097,6.24833305,6.162124441,6.071522652,5.965577407,6.068009746,6.160048046,6.019614248,5.973915083,5.923902189,5.763361764,5.834763073,5.766933977,5.917714218,5.889572579,5.830427198,5.667646071,5.758778491,5.694127006,5.477613627,5.537273781,5.56011188,5.49261892,5.508588495,5.447950365,5.655697282,5.802042055,5.91586794,5.719255629
Sub46,5.147326409,5.177681053,5.197297953,5.24163535,5.362458263,5.26891771,5.228408049,5.218172325,5.320526997,5.125446617,5.199777321,4.96422216,4.885915883,5.097844387,4.821775325,5.056289687,5.168296732,5.345011246,5.154565213,5.183168288,5.11849548,5.040904007,4.974000349,4.996341473,4.944861957,5.162959115,5.143997908,5.043964064,4.966228425,4.927957173
Sub47,5.000501984,5.198747939,4.900947724,5.106222756,5.31082001,5.231219841,5.202568254,5.349437148,5.140383178,5.216184204,5.300491017,5.291298447,5.213476376,5.390515969,5.298755312,5.11505796,5.358009711,4.898815209,4.984099415,4.904540401,5.007500989,4.852406609,5.254872326,5.048655867,5.032885572,5.170968458,5.052178785,5.015106455,5.310574197,5.034616256
Sub48,6.26316519,6.122802025,6.147982075,6.272428755,6.13576334,6.09819978,6.096190846,6.010521896,6.095762268,5.924747919,5.967542418,5.873700701,6.001026972,5.997646647,6.016700703,6.014239492,5.973748989,6.072313395,6.037827414,6.072850482,6.050362069,6.201453206,6.105849276,5.981617781,5.937189168,6.047366243,5.944643749,6.009177487,5.859438139,5.879223176
Sub49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub50,5.298489196,5.340956042,5.726939572,5.612538184,5.44755814,5.40890285,5.474594538,5.385493682,5.575137766,5.478275454,5.296818367,5.114545927,5.157552649,5.242297399,5.04416886,5.054062927,5.388955294,5.378328217,5.02758766,4.953977187,4.91818524,5.420165808,5.022472241,5.28033666,5.023245205,5.027238111,5.007308827,5.182309902,5.015587346,4.995541145
Sub51,4.751661424,4.848392442,4.880113079,4.840051048,4.868188262,4.818072482,4.849466216,4.737037061,4.841219456,4.695946819,4.842160933,4.769723866,4.680218145,4.74360196,4.79257206,4.746470502,4.734287576,4.718372098,4.742841965,4.740877439,4.80390197,4.694432988,4.840817839,4.90797906,4.75845803,4.689588892,4.856926414,4.781725052,4.679457414,4.726729746
Sub52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub53,5.417119822,5.358304037,5.388475531,5.244932716,5.229210735,5.123096605,5.21668159,5.389133595,5.301315515,5.310808147,5.28415168,5.341164588,5.315075914,5.232170141,5.367657322,5.272322652,5.354980984,5.264952319,5.116957166,5.143406342,5.163763853,5.22065346,5.212596994,5.113519598,4.919087073,5.090622994,5.119703564,4.954763743,4.962807667,4.804529288
