Sub,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
Sub11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub13,4.24105571,4.14380552,4.489518983,4.096183594,4.183722092,4.305523614,4.684134886,4.701577282,4.612485472,4.76384462,4.535639369,4.229885927,4.568592597,4.530772546,4.336334589,4.527490723,5.083503358,4.798517537,4.883788104,4.821815948,5.054005857,4.877162226,4.870232985,5.138273767,4.696295668,4.419304774,4.680066802,4.725465838,5.051028506,5.164384054,4.779780617,4.985681595,4.934802671,4.418689255,4.708879428,4.694313627,4.424767713,4.601219056,4.582918254,4.699601129,4.469382722,4.513484493,4.454014852,4.130707554,4.777884354,4.999071054,4.488085738,4.962852614,4.481733909,4.450915577,4.760318086,4.894203527,5.052573005,4.934979866,5.067054315,4.851108221,4.713025501,4.22637553,4.343763215,4.88401144,4.568395706,4.988091337,4.878943308,4.862739613,4.602558904,4.857203109,4.969388864,5.203127339,4.471430911,4.075117078,4.338332207,4.804034067,4.953474202,5.096894786,4.942535138,4.746518415,4.65757584,4.416635343,4.594053615,4.540210954,4.655668078,4.656296273,4.487796813,4.576938214,4.474486555,4.419572759,4.402164228,4.309785423,4.214879876,3.833669686
Sub14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub15,4.812003202,5.00338056,4.756479248,4.769042963,4.903691117,5.033230055,4.752989262,5.076257539,4.759785275,4.749760583,4.913103368,5.206827586,5.171420859,5.127764211,5.102162264,5.229169099,5.223346037,5.508860741,5.50249186,5.178850489,5.521343288,5.471949512,5.30503012,5.299622696,5.104307446,5.392517094,5.246834239,5.03456044,5.184206915,5.0081126,4.815057777,5.149251363,5.204119377,5.364098808,5.480176967,5.306294134,5.089718879,5.153517023,5.545687913,5.395419086,5.213769813,5.083269134,5.275889911,5.484257622,5.539858204,5.432815874,5.453024446,5.346308787,5.359505344,5.504251778,5.349357931,5.446601253,5.235107536,5.26574946,5.314805458,5.412771457,5.524428798,5.338511628,5.485575486,5.404968319,4.895382338,5.397462016,5.329918797,5.071381821,5.129223278,5.117841368,5.256496883,5.0598923,5.282053679,5.414547833,5.321666838,5.218832054,5.241420342,5.226002292,5.302516773,5.531197509,5.395336672,5.322253904,5.191249335,5.359525268,5.181758598,5.620188917,5.59452334,5.481313102,5.19647966,5.40155336,5.40248008,5.347654832,5.384005052,4.47651981
Sub16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub17,4.479973495,4.563111197,4.769350498,4.80209844,4.753308175,4.710724388,5.049199957,5.046503406,5.070480286,5.095881315,5.168763378,5.271994967,5.22566575,5.205582839,5.054590379,5.06664329,5.290036085,5.27353495,5.213607661,5.264637891,5.353692856,5.262737865,5.243165698,5.340199111,5.433700086,5.52344974,5.168975358,5.103506177,5.215844155,5.401087764,5.481586603,5.354632902,5.540936007,5.270470776,5.491229996,5.408331257,5.373254881,5.205114379,5.379452975,5.432147666,5.290394216,5.220495601,5.336868379,5.264739203,5.467187257,5.377817723,5.449413861,5.302281761,5.437444923,5.520187424,5.352216741,5.486312353,5.503071626,5.531821076,5.536066973,5.486961469,5.521431346,5.366407579,5.306065835,5.41412601,5.399306866,5.481147728,5.527368216,5.574355109,5.370914723,5.377024468,5.346296155,5.275683401,5.39745534,5.400360867,5.351007087,5.478882783,5.326355552,5.414906765,5.508479232,5.326259656,5.452927984,5.357881204,5.293552611,5.265805875,5.217728135,5.189691114,5.314641573,5.321215875,5.408457351,5.459044242,5.546224082,5.157235647,5.338663992,5.152942725
Sub18,5.222534468,5.162447095,5.218618136,5.390043296,5.215920978,5.433012673,5.208704192,5.276783195,5.167670765,5.040010718,5.110908597,4.946669948,4.830571702,5.095976298,4.901299498,5.167741494,4.953728382,4.959215416,4.941149264,4.877498872,4.888451151,5.29680095,5.280997967,5.3604414,5.013751065,5.149142811,5.091098532,5.133492144,4.878996186,4.917028265,5.215276407,4.859146153,4.738776749,4.779926069,4.791780491,4.974317063,5.136515041,5.260357122,5.207776403,5.14580055,5.157336254,4.68690922,5.288779033,5.398176305,5.128440255,5.510367848,5.567083099,5.317305049,5.155294504,5.30885992,5.034417213,5.138725641,5.227482756,4.979422017,5.127245551,5.074409975,5.221996208,5.129329456,5.183025856,5.343043949,5.318367042,5.007017668,4.64051452,5.086388273,5.129273763,5.22514476,4.78963478,4.871238423,4.897833489,4.791170578,4.993618641,4.932657671,4.884562804,4.7010092,4.94045365,5.136625305,5.232902979,5.096376354,4.910722684,4.965419637,4.90340355,5.030218834,5.047373073,5.071271474,5.159983465,5.071364643,5.2662348,4.977807326,5.200895283,4.262496489
Sub19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
